eniq_oss_3 SCEF                                                                                  18.8       vECE    SubNetwork               vECE01   SubNetwork=SubNetwork,NetworkElement=vECE01                 vECE01   ESA         Ericsson ACTIVE   2024-04-08 08:00:23.0 2024-06-03 05:30:23.0 ENIQ     
eniq_oss_3 SCEF                                                                                  18.8       vECE    SubNetwork               vECE04   SubNetwork=SubNetwork,NetworkElement=vECE04                 vECE04   ESA         Ericsson ACTIVE   2024-05-21 05:15:23.0 2024-06-03 05:30:23.0 ENIQ     
eniq_oss_3 SCEF                                                                                  18.8       vECE    SubNetwork               vECE09   SubNetwork=SubNetwork,NetworkElement=vECE09                 vECE09   ESA         Ericsson ACTIVE   2024-05-21 05:15:23.0 2024-06-03 05:30:23.0 ENIQ     
eniq_oss_3 SCEF                                                                                  18.8       vECE    SubNetwork               vECE36   SubNetwork=SubNetwork,NetworkElement=vECE36                 vECE36   ESA         Ericsson ACTIVE   2024-05-21 05:15:23.0 2024-06-03 05:30:23.0 ENIQ     
eniq_oss_3 SCEF                                                                                  18.8       vECE    SubNetwork               vECE30   SubNetwork=SubNetwork,NetworkElement=vECE30                 vECE30   ESA         Ericsson ACTIVE   2024-05-21 05:15:23.0 2024-06-03 05:30:23.0 ENIQ     
eniq_oss_3 SCEF                                                                                  18.8       vECE    SubNetwork               vECE19   SubNetwork=SubNetwork,NetworkElement=vECE19                 vECE19   ESA         Ericsson ACTIVE   2024-05-21 05:15:23.0 2024-06-03 05:30:23.0 ENIQ     
eniq_oss_3 SCEF                                                                                  18.8       vECE    SubNetwork               vECE40   SubNetwork=SubNetwork,NetworkElement=vECE40                 vECE40   ESA         Ericsson ACTIVE   2024-05-21 05:15:23.0 2024-06-03 05:30:23.0 ENIQ     
eniq_oss_3 SCEF                                                                                  18.8       vECE    SubNetwork               vECE20   SubNetwork=SubNetwork,NetworkElement=vECE20                 vECE20   ESA         Ericsson ACTIVE   2024-05-21 05:15:23.0 2024-06-03 05:30:23.0 ENIQ     
eniq_oss_3 SCEF                                                                                  18.8       vECE    SubNetwork               vECE26   SubNetwork=SubNetwork,NetworkElement=vECE26                 vECE26   ESA         Ericsson ACTIVE   2024-05-21 05:15:23.0 2024-06-03 05:30:23.0 ENIQ     
eniq_oss_3 SCEF                                                                                  18.8       vECE    SubNetwork               vECE08   SubNetwork=SubNetwork,NetworkElement=vECE08                 vECE08   ESA         Ericsson ACTIVE   2024-05-21 05:15:23.0 2024-06-03 05:30:23.0 ENIQ     
eniq_oss_3 SCEF                                                                                  18.8       vECE    SubNetwork               vECE11   SubNetwork=SubNetwork,NetworkElement=vECE11                 vECE11   ESA         Ericsson ACTIVE   2024-05-21 05:15:23.0 2024-06-03 05:30:23.0 ENIQ     
eniq_oss_3 SCEF                                                                                  18.8       vECE    SubNetwork               vECE06   SubNetwork=SubNetwork,NetworkElement=vECE06                 vECE06   ESA         Ericsson ACTIVE   2024-05-21 05:15:23.0 2024-06-03 05:30:23.0 ENIQ     
eniq_oss_3 SCEF                                                                                  18.8       vECE    SubNetwork               vECE03   SubNetwork=SubNetwork,NetworkElement=vECE03                 vECE03   ESA         Ericsson ACTIVE   2024-05-21 05:15:23.0 2024-06-03 05:30:23.0 ENIQ     
eniq_oss_3 SCEF                                                                                  18.8       vECE    SubNetwork               vECE38   SubNetwork=SubNetwork,NetworkElement=vECE38                 vECE38   ESA         Ericsson ACTIVE   2024-05-21 05:15:23.0 2024-06-03 05:30:23.0 ENIQ     
eniq_oss_3 SCEF                                                                                  18.8       vECE    SubNetwork               vECE14   SubNetwork=SubNetwork,NetworkElement=vECE14                 vECE14   ESA         Ericsson ACTIVE   2024-05-21 05:15:23.0 2024-06-03 05:30:23.0 ENIQ     
eniq_oss_3 SCEF                                                                                  18.8       vECE    SubNetwork               vECE28   SubNetwork=SubNetwork,NetworkElement=vECE28                 vECE28   ESA         Ericsson ACTIVE   2024-05-21 05:15:23.0 2024-06-03 05:30:23.0 ENIQ     
eniq_oss_3 SCEF                                                                                  18.8       vECE    SubNetwork               vECE37   SubNetwork=SubNetwork,NetworkElement=vECE37                 vECE37   ESA         Ericsson ACTIVE   2024-05-21 05:15:23.0 2024-06-03 05:30:23.0 ENIQ     
eniq_oss_3 SCEF                                                                                  18.8       vECE    SubNetwork               vECE10   SubNetwork=SubNetwork,NetworkElement=vECE10                 vECE10   ESA         Ericsson ACTIVE   2024-05-21 05:15:23.0 2024-06-03 05:30:23.0 ENIQ     
eniq_oss_3 SCEF                                                                                  18.8       vECE    SubNetwork               vECE23   SubNetwork=SubNetwork,NetworkElement=vECE23                 vECE23   ESA         Ericsson ACTIVE   2024-05-21 05:15:23.0 2024-06-03 05:30:23.0 ENIQ     
eniq_oss_3 SCEF                                                                                  18.8       vECE    SubNetwork               vECE44   SubNetwork=SubNetwork,NetworkElement=vECE44                 vECE44   ESA         Ericsson ACTIVE   2024-05-21 05:15:23.0 2024-06-03 05:30:23.0 ENIQ     
eniq_oss_3 SCEF                                                                                  18.8       vECE    SubNetwork               vECE13   SubNetwork=SubNetwork,NetworkElement=vECE13                 vECE13   ESA         Ericsson ACTIVE   2024-05-21 05:15:23.0 2024-06-03 05:30:23.0 ENIQ     
eniq_oss_3 SCEF                                                                                  18.8       vECE    SubNetwork               vECE86   SubNetwork=SubNetwork,NetworkElement=vECE86                 vECE86   ESA         Ericsson ACTIVE   2024-05-23 06:00:24.0 2024-06-03 05:30:23.0 ENIQ     
eniq_oss_3 SCEF                                                                                  18.8       vECE    SubNetwork               vECE99   SubNetwork=SubNetwork,NetworkElement=vECE99                 vECE99   ESA         Ericsson ACTIVE   2024-05-23 06:00:24.0 2024-06-03 05:30:23.0 ENIQ     
eniq_oss_3 SCEF                                                                                  18.8       vECE    SubNetwork               vECE81   SubNetwork=SubNetwork,NetworkElement=vECE81                 vECE81   ESA         Ericsson ACTIVE   2024-05-23 06:00:24.0 2024-06-03 05:30:23.0 ENIQ     
eniq_oss_3 SCEF                                                                                  18.8       vECE    SubNetwork               vECE63   SubNetwork=SubNetwork,NetworkElement=vECE63                 vECE63   ESA         Ericsson ACTIVE   2024-05-23 06:00:24.0 2024-06-03 05:30:23.0 ENIQ     
eniq_oss_3 SCEF                                                                                  18.8       vECE    SubNetwork               vECE70   SubNetwork=SubNetwork,NetworkElement=vECE70                 vECE70   ESA         Ericsson ACTIVE   2024-05-23 06:00:24.0 2024-06-03 05:30:23.0 ENIQ     
eniq_oss_3 SCEF                                                                                  18.8       vECE    SubNetwork               vECE89   SubNetwork=SubNetwork,NetworkElement=vECE89                 vECE89   ESA         Ericsson ACTIVE   2024-05-23 06:00:24.0 2024-06-03 05:30:23.0 ENIQ     
eniq_oss_3 SCEF                                                                                  18.8       vECE    SubNetwork               vECE80   SubNetwork=SubNetwork,NetworkElement=vECE80                 vECE80   ESA         Ericsson ACTIVE   2024-05-23 06:00:24.0 2024-06-03 05:30:23.0 ENIQ     
eniq_oss_3 SCEF                                                                                  18.8       vECE    SubNetwork               vECE95   SubNetwork=SubNetwork,NetworkElement=vECE95                 vECE95   ESA         Ericsson ACTIVE   2024-05-23 06:00:24.0 2024-06-03 05:30:23.0 ENIQ     
eniq_oss_3 SCEF                                                                                  18.8       vECE    SubNetwork               vECE56   SubNetwork=SubNetwork,NetworkElement=vECE56                 vECE56   ESA         Ericsson ACTIVE   2024-05-23 06:00:24.0 2024-06-03 05:30:23.0 ENIQ     
eniq_oss_3 SCEF                                                                                  18.8       vECE    SubNetwork               vECE87   SubNetwork=SubNetwork,NetworkElement=vECE87                 vECE87   ESA         Ericsson ACTIVE   2024-05-23 06:00:24.0 2024-06-03 05:30:23.0 ENIQ     
eniq_oss_3 SCEF                                                                                  18.8       vECE    SubNetwork               vECE58   SubNetwork=SubNetwork,NetworkElement=vECE58                 vECE58   ESA         Ericsson ACTIVE   2024-05-23 06:00:24.0 2024-06-03 05:30:23.0 ENIQ     
eniq_oss_3 SCEF                                                                                  18.8       vECE    SubNetwork               vECE65   SubNetwork=SubNetwork,NetworkElement=vECE65                 vECE65   ESA         Ericsson ACTIVE   2024-05-23 06:00:24.0 2024-06-03 05:30:23.0 ENIQ     
eniq_oss_3 SCEF                                                                                  18.8       vECE    SubNetwork               vECE71   SubNetwork=SubNetwork,NetworkElement=vECE71                 vECE71   ESA         Ericsson ACTIVE   2024-05-23 06:00:24.0 2024-06-03 05:30:23.0 ENIQ     
eniq_oss_3 SCEF                                                                                  18.8       vECE    SubNetwork               vECE68   SubNetwork=SubNetwork,NetworkElement=vECE68                 vECE68   ESA         Ericsson ACTIVE   2024-05-23 06:00:24.0 2024-06-03 05:30:23.0 ENIQ     
eniq_oss_3 SCEF                                                                                  18.8       vECE    SubNetwork               vECE69   SubNetwork=SubNetwork,NetworkElement=vECE69                 vECE69   ESA         Ericsson ACTIVE   2024-05-23 06:00:24.0 2024-06-03 05:30:23.0 ENIQ     
eniq_oss_3 SCEF                                                                                  18.8       vECE    SubNetwork               vECE66   SubNetwork=SubNetwork,NetworkElement=vECE66                 vECE66   ESA         Ericsson ACTIVE   2024-05-23 06:00:24.0 2024-06-03 05:30:23.0 ENIQ     
eniq_oss_3 SCEF                                                                                  18.8       vECE    SubNetwork               vECE83   SubNetwork=SubNetwork,NetworkElement=vECE83                 vECE83   ESA         Ericsson ACTIVE   2024-05-23 06:00:24.0 2024-06-03 05:30:23.0 ENIQ     
eniq_oss_3 SCEF                                                                                  18.8       vECE    SubNetwork               vECE90   SubNetwork=SubNetwork,NetworkElement=vECE90                 vECE90   ESA         Ericsson ACTIVE   2024-05-23 06:00:24.0 2024-06-03 05:30:23.0 ENIQ     
eniq_oss_3 SCEF                                                                                  18.8       vECE    SubNetwork               vECE97   SubNetwork=SubNetwork,NetworkElement=vECE97                 vECE97   ESA         Ericsson ACTIVE   2024-05-23 06:00:24.0 2024-06-03 05:30:23.0 ENIQ     
eniq_oss_3 SCEF                                                                                  18.8       vECE    SubNetwork               vECE60   SubNetwork=SubNetwork,NetworkElement=vECE60                 vECE60   ESA         Ericsson ACTIVE   2024-05-23 06:00:24.0 2024-06-03 05:30:23.0 ENIQ     
eniq_oss_3 SCEF                                                                                  18.8       vECE    SubNetwork               vECE77   SubNetwork=SubNetwork,NetworkElement=vECE77                 vECE77   ESA         Ericsson ACTIVE   2024-05-23 06:00:24.0 2024-06-03 05:30:23.0 ENIQ     
eniq_oss_3 SCEF                                                                                  18.8       vECE    SubNetwork               vECE57   SubNetwork=SubNetwork,NetworkElement=vECE57                 vECE57   ESA         Ericsson ACTIVE   2024-05-23 06:00:24.0 2024-06-03 05:30:23.0 ENIQ     
eniq_oss_3 SCEF                                                                                  18.8       vECE    SubNetwork               vECE72   SubNetwork=SubNetwork,NetworkElement=vECE72                 vECE72   ESA         Ericsson ACTIVE   2024-05-23 06:00:24.0 2024-06-03 05:30:23.0 ENIQ     
eniq_oss_3 SCEF                                                                                  18.8       vECE    SubNetwork               vECE75   SubNetwork=SubNetwork,NetworkElement=vECE75                 vECE75   ESA         Ericsson ACTIVE   2024-05-23 06:00:24.0 2024-06-03 05:30:23.0 ENIQ     
eniq_oss_3 SCEF                                                                                  18.8       vECE    SubNetwork               vECE52   SubNetwork=SubNetwork,NetworkElement=vECE52                 vECE52   ESA         Ericsson ACTIVE   2024-05-23 06:00:24.0 2024-06-03 05:30:23.0 ENIQ     
eniq_oss_3 SCEF                                                                                  18.8       vECE    SubNetwork               vECE55   SubNetwork=SubNetwork,NetworkElement=vECE55                 vECE55   ESA         Ericsson ACTIVE   2024-05-23 06:00:24.0 2024-06-03 05:30:23.0 ENIQ     
eniq_oss_3 SCEF                                                                                  18.8       vECE    SubNetwork               vECE78   SubNetwork=SubNetwork,NetworkElement=vECE78                 vECE78   ESA         Ericsson ACTIVE   2024-05-23 06:00:24.0 2024-06-03 05:30:23.0 ENIQ     
eniq_oss_3 SCEF                                                                                  18.8       vECE    SubNetwork               vECE62   SubNetwork=SubNetwork,NetworkElement=vECE62                 vECE62   ESA         Ericsson ACTIVE   2024-05-23 06:00:24.0 2024-06-03 05:30:23.0 ENIQ     
eniq_oss_3 SCEF                                                                                  18.8       vECE    SubNetwork               vECE67   SubNetwork=SubNetwork,NetworkElement=vECE67                 vECE67   ESA         Ericsson ACTIVE   2024-05-23 06:00:24.0 2024-06-03 05:30:23.0 ENIQ     
eniq_oss_3 SCEF                                                                                  18.8       vECE    SubNetwork               vECE64   SubNetwork=SubNetwork,NetworkElement=vECE64                 vECE64   ESA         Ericsson ACTIVE   2024-05-23 06:00:24.0 2024-06-03 05:30:23.0 ENIQ     
eniq_oss_3 SCEF                                                                                  18.8       vECE    SubNetwork               vECE92   SubNetwork=SubNetwork,NetworkElement=vECE92                 vECE92   ESA         Ericsson ACTIVE   2024-05-23 06:00:24.0 2024-06-03 05:30:23.0 ENIQ     
eniq_oss_3 SCEF                                                                                  18.8       vECE    SubNetwork               vECE53   SubNetwork=SubNetwork,NetworkElement=vECE53                 vECE53   ESA         Ericsson ACTIVE   2024-05-23 06:00:24.0 2024-06-03 05:30:23.0 ENIQ     
eniq_oss_3 SCEF                                                                                  18.8       vECE    SubNetwork               vECE54   SubNetwork=SubNetwork,NetworkElement=vECE54                 vECE54   ESA         Ericsson ACTIVE   2024-05-23 06:00:24.0 2024-06-03 05:30:23.0 ENIQ     
eniq_oss_3 SCEF                                                                                  18.8       vECE    SubNetwork               vECE61   SubNetwork=SubNetwork,NetworkElement=vECE61                 vECE61   ESA         Ericsson ACTIVE   2024-05-23 06:00:24.0 2024-06-03 05:30:23.0 ENIQ     
eniq_oss_3 SCEF                                                                                  18.8       vECE    SubNetwork               vECE74   SubNetwork=SubNetwork,NetworkElement=vECE74                 vECE74   ESA         Ericsson ACTIVE   2024-05-23 06:00:24.0 2024-06-03 05:30:23.0 ENIQ     
eniq_oss_3 SCEF                                                                                  18.8       vECE    SubNetwork               vECE85   SubNetwork=SubNetwork,NetworkElement=vECE85                 vECE85   ESA         Ericsson ACTIVE   2024-05-23 06:00:24.0 2024-06-03 05:30:23.0 ENIQ     
eniq_oss_3 SCEF                                                                                  18.8       vECE    SubNetwork               vECE82   SubNetwork=SubNetwork,NetworkElement=vECE82                 vECE82   ESA         Ericsson ACTIVE   2024-05-23 06:00:24.0 2024-06-03 05:30:23.0 ENIQ     
eniq_oss_3 SCEF                                                                                  18.8       vECE    SubNetwork               vECE88   SubNetwork=SubNetwork,NetworkElement=vECE88                 vECE88   ESA         Ericsson ACTIVE   2024-05-23 06:00:24.0 2024-06-03 05:30:23.0 ENIQ     
eniq_oss_3 SCEF                                                                                  18.8       vECE    SubNetwork               vECE94   SubNetwork=SubNetwork,NetworkElement=vECE94                 vECE94   ESA         Ericsson ACTIVE   2024-05-23 06:00:24.0 2024-06-03 05:30:23.0 ENIQ     
eniq_oss_3 SCEF                                                                                  18.8       vECE    SubNetwork               vECE100  SubNetwork=SubNetwork,NetworkElement=vECE100                vECE100  ESA         Ericsson ACTIVE   2024-05-23 06:00:24.0 2024-06-03 05:30:23.0 ENIQ     
eniq_oss_3 SCEF                                                                                  18.8       vECE    SubNetwork               vECE96   SubNetwork=SubNetwork,NetworkElement=vECE96                 vECE96   ESA         Ericsson ACTIVE   2024-05-23 06:00:24.0 2024-06-03 05:30:23.0 ENIQ     
eniq_oss_3 SCEF                                                                                  18.8       vECE    SubNetwork               vECE51   SubNetwork=SubNetwork,NetworkElement=vECE51                 vECE51   ESA         Ericsson ACTIVE   2024-05-23 06:00:24.0 2024-06-03 05:30:23.0 ENIQ     
eniq_oss_3 SCEF                                                                                  18.8       vECE    SubNetwork               vECE93   SubNetwork=SubNetwork,NetworkElement=vECE93                 vECE93   ESA         Ericsson ACTIVE   2024-05-23 06:00:24.0 2024-06-03 05:30:23.0 ENIQ     
eniq_oss_3 SCEF                                                                                  18.8       vECE    SubNetwork               vECE76   SubNetwork=SubNetwork,NetworkElement=vECE76                 vECE76   ESA         Ericsson ACTIVE   2024-05-23 06:00:24.0 2024-06-03 05:30:23.0 ENIQ     
eniq_oss_3 SCEF                                                                                  18.8       vECE    SubNetwork               vECE91   SubNetwork=SubNetwork,NetworkElement=vECE91                 vECE91   ESA         Ericsson ACTIVE   2024-05-23 06:00:24.0 2024-06-03 05:30:23.0 ENIQ     
eniq_oss_3 SCEF                                                                                  18.8       vECE    SubNetwork               vECE73   SubNetwork=SubNetwork,NetworkElement=vECE73                 vECE73   ESA         Ericsson ACTIVE   2024-05-23 06:00:24.0 2024-06-03 05:30:23.0 ENIQ     
eniq_oss_3 SCEF                                                                                  18.8       vECE    SubNetwork               vECE79   SubNetwork=SubNetwork,NetworkElement=vECE79                 vECE79   ESA         Ericsson ACTIVE   2024-05-23 06:00:24.0 2024-06-03 05:30:23.0 ENIQ     
eniq_oss_3 SCEF                                                                                  18.8       vECE    SubNetwork               vECE98   SubNetwork=SubNetwork,NetworkElement=vECE98                 vECE98   ESA         Ericsson ACTIVE   2024-05-23 06:00:24.0 2024-06-03 05:30:23.0 ENIQ     
eniq_oss_3 SCEF                                                                                  18.8       vECE    SubNetwork               vECE84   SubNetwork=SubNetwork,NetworkElement=vECE84                 vECE84   ESA         Ericsson ACTIVE   2024-05-23 06:00:24.0 2024-06-03 05:30:23.0 ENIQ     
eniq_oss_3 SCEF                                                                                  18.8       vECE    SubNetwork               vECE59   SubNetwork=SubNetwork,NetworkElement=vECE59                 vECE59   ESA         Ericsson ACTIVE   2024-05-23 06:00:24.0 2024-06-03 05:30:23.0 ENIQ     
eniq_oss_1 SCEF                                                                                  18.8       vECE    SubNetwork               vECE01   SubNetwork=SubNetwork,NetworkElement=vECE01                 vECE01   ESA         Ericsson ACTIVE   2024-05-28 16:26:32.0 2024-06-03 16:49:48.0 ENIQ     
eniq_oss_1 ManagedElement SubNetwork=ONRM_ROOT_MO,Site=MSRNC05RBS05 MSRNC05RBS05                 1.21       DSC     ONRM_ROOT_MO             DSC01    SubNetwork=ONRM_ROOT_MO,ManagedElement=DSC01                DSC01    CBA         Ericsson ACTIVE   2024-06-03 12:47:35.0 2024-06-03 15:28:30.0 ENIQ     

Note: Some of the data values have been truncated for display purposes.
