KPI,Formula,Description,Counters,CountersDescription,Access Type,System Area,Node Type,Measure,Measure Type,GSM Access Type,LTE Access Type,NR Access Type,WCDMA Access Type,Complexity,Custom Where Clause Condition,Custom Keys,SQL Operator,Mapping Columns,Category
Sxb Node Report Failure Ratio per PGW-U,100*((DC_E_PCC_SXB_NODE_REPORT_RAW.node_report_req_rcvd-DC_E_PCC_SXB_NODE_REPORT_RAW.node_report_resp_acc_sent)/DC_E_PCC_SXB_NODE_REPORT_RAW.node_report_req_rcvd),,"DC_E_PCC_SXB_NODE_REPORT_RAW.node_report_req_rcvd,DC_E_PCC_SXB_NODE_REPORT_RAW.node_report_resp_acc_sent",,,Core,PCC,Sxb Node Report Failure Ratio per PGW-U,KPI,,,,,Simple,,"MOID, NE_NAME, OSS_ID,ROWSTATUS, DC_TIMEZONE",,,
Sxb Session Establishment Failure Ratio per PGW-U,100*((DC_E_PCC_SXB_SESSION_INFORMATION_RAW.session_establishment_req_sent-DC_E_PCC_SXB_SESSION_INFORMATION_RAW.session_establishment_resp_acc_rcvd)/DC_E_PCC_SXB_SESSION_INFORMATION_RAW.session_establishment_req_sent),,"DC_E_PCC_SXB_SESSION_INFORMATION_RAW.session_establishment_req_sent,DC_E_PCC_SXB_SESSION_INFORMATION_RAW.session_establishment_resp_acc_rcvd",,,Core,PCC,Sxb Session Establishment Failure Ratio per PGW-U,KPI,,,,,Simple,,"MOID, NE_NAME, OSS_ID,ROWSTATUS, DC_TIMEZONE",,,
Sxb Session Modification Failure Ratio per PGW-U,100*((DC_E_PCC_SXB_SESSION_INFORMATION_RAW.session_modification_req_sent-DC_E_PCC_SXB_SESSION_INFORMATION_RAW.session_modification_resp_acc_rcvd)/DC_E_PCC_SXB_SESSION_INFORMATION_RAW.session_modification_req_sent),,"DC_E_PCC_SXB_SESSION_INFORMATION_RAW.session_modification_req_sent,DC_E_PCC_SXB_SESSION_INFORMATION_RAW.session_modification_resp_acc_rcvd",,,Core,PCC,Sxb Session Modification Failure Ratio per PGW-U,KPI,,,,,Simple,,"MOID, NE_NAME, OSS_ID,ROWSTATUS, DC_TIMEZONE",,,
Sxb Session Deletion Failure Ratio per PGW-U,100*((DC_E_PCC_SXB_SESSION_INFORMATION_RAW.session_deletion_req_sent-DC_E_PCC_SXB_SESSION_INFORMATION_RAW.session_deletion_resp_acc_rcvd)/DC_E_PCC_SXB_SESSION_INFORMATION_RAW.session_deletion_req_sent),,"DC_E_PCC_SXB_SESSION_INFORMATION_RAW.session_deletion_req_sent,DC_E_PCC_SXB_SESSION_INFORMATION_RAW.session_deletion_resp_acc_rcvd",,,Core,PCC,Sxb Session Deletion Failure Ratio per PGW-U,KPI,,,,,Simple,,"MOID, NE_NAME, OSS_ID,ROWSTATUS, DC_TIMEZONE",,,
Sxb Session Report Failure Ratio per PGW-U,100*((DC_E_PCC_SXB_SESSION_INFORMATION_RAW.session_report_req_rcvd-DC_E_PCC_SXB_SESSION_INFORMATION_RAW.session_report_resp_acc_sent)/DC_E_PCC_SXB_SESSION_INFORMATION_RAW.session_report_req_rcvd),,"DC_E_PCC_SXB_SESSION_INFORMATION_RAW.session_report_req_rcvd,DC_E_PCC_SXB_SESSION_INFORMATION_RAW.session_report_resp_acc_sent",,,Core,PCC,Sxb Session Report Failure Ratio per PGW-U,KPI,,,,,Simple,,"MOID, NE_NAME, OSS_ID,ROWSTATUS, DC_TIMEZONE",,,
SGW-C Create Dedicated Bearer Failure Ratio for separate S5-C,100*((DC_E_PCC_SGW_GTP_TUNNEL_MGMT_S5_RAW.sm_create_bearer_req_rcvd-DC_E_PCC_SGW_GTP_TUNNEL_MGMT_S5_RAW.sm_create_bearer_resp_acc_sent)/DC_E_PCC_SGW_GTP_TUNNEL_MGMT_S5_RAW.sm_create_bearer_req_rcvd),,"DC_E_PCC_SGW_GTP_TUNNEL_MGMT_S5_RAW.sm_create_bearer_req_rcvd,DC_E_PCC_SGW_GTP_TUNNEL_MGMT_S5_RAW.sm_create_bearer_resp_acc_sent",,,Core,PCC,SGW-C Create Dedicated Bearer Failure Ratio for separate S5-C,KPI,,,,,Simple,,"MOID, NE_NAME, OSS_ID,ROWSTATUS, DC_TIMEZONE",,,
SGW-C Create Dedicated Bearer Failure Ratio for separate S8-C,100*((DC_E_PCC_SGW_GTP_TUNNEL_MGMT_S8_RAW.sm_create_bearer_req_rcvd-DC_E_PCC_SGW_GTP_TUNNEL_MGMT_S8_RAW.sm_create_bearer_resp_acc_sent)/DC_E_PCC_SGW_GTP_TUNNEL_MGMT_S8_RAW.sm_create_bearer_req_rcvd),,"DC_E_PCC_SGW_GTP_TUNNEL_MGMT_S8_RAW.sm_create_bearer_req_rcvd,DC_E_PCC_SGW_GTP_TUNNEL_MGMT_S8_RAW.sm_create_bearer_resp_acc_sent",,,Core,PCC,SGW-C Create Dedicated Bearer Failure Ratio for separate S8-C,KPI,,,,,Simple,,"MOID, NE_NAME, OSS_ID,ROWSTATUS, DC_TIMEZONE",,,
SGW-C Create Dedicated Bearer Failure Ratio for combined S5/S8-C,100*((DC_E_PCC_SGW_GTP_TUNNEL_MGMT_S5_S8_RAW.sm_create_bearer_req_rcvd-DC_E_PCC_SGW_GTP_TUNNEL_MGMT_S5_S8_RAW.sm_create_bearer_resp_acc_sent)/DC_E_PCC_SGW_GTP_TUNNEL_MGMT_S5_S8_RAW.sm_create_bearer_req_rcvd),,"DC_E_PCC_SGW_GTP_TUNNEL_MGMT_S5_S8_RAW.sm_create_bearer_req_rcvd,DC_E_PCC_SGW_GTP_TUNNEL_MGMT_S5_S8_RAW.sm_create_bearer_resp_acc_sent",,,Core,PCC,SGW-C Create Dedicated Bearer Failure Ratio for combined S5/S8-C,KPI,,,,,Simple,,"MOID, NE_NAME, OSS_ID,ROWSTATUS, DC_TIMEZONE",,,
SGW-C Update Dedicated Bearer Failure Ratio for separate S5-C,100*((DC_E_PCC_SGW_GTP_TUNNEL_MGMT_S5_RAW.sm_update_bearer_req_rcvd-DC_E_PCC_SGW_GTP_TUNNEL_MGMT_S5_RAW.sm_update_bearer_resp_acc_sent)/DC_E_PCC_SGW_GTP_TUNNEL_MGMT_S5_RAW.sm_update_bearer_req_rcvd),,"DC_E_PCC_SGW_GTP_TUNNEL_MGMT_S5_RAW.sm_update_bearer_req_rcvd,DC_E_PCC_SGW_GTP_TUNNEL_MGMT_S5_RAW.sm_update_bearer_resp_acc_sent",,,Core,PCC,SGW-C Update Dedicated Bearer Failure Ratio for separate S5-C,KPI,,,,,Simple,,"MOID, NE_NAME, OSS_ID,ROWSTATUS, DC_TIMEZONE",,,
SGW-C Update Dedicated Bearer Failure Ratio for separate S8-C,100*((DC_E_PCC_SGW_GTP_TUNNEL_MGMT_S8_RAW.sm_update_bearer_req_rcvd-DC_E_PCC_SGW_GTP_TUNNEL_MGMT_S8_RAW.sm_update_bearer_resp_acc_sent)/DC_E_PCC_SGW_GTP_TUNNEL_MGMT_S8_RAW.sm_update_bearer_req_rcvd),,"DC_E_PCC_SGW_GTP_TUNNEL_MGMT_S8_RAW.sm_update_bearer_req_rcvd,DC_E_PCC_SGW_GTP_TUNNEL_MGMT_S8_RAW.sm_update_bearer_resp_acc_sent",,,Core,PCC,SGW-C Update Dedicated Bearer Failure Ratio for separate S8-C,KPI,,,,,Simple,,"MOID, NE_NAME, OSS_ID,ROWSTATUS, DC_TIMEZONE",,,
SGW-C Update Dedicated Bearer Failure Ratio for combined S5/S8-C,100*((DC_E_PCC_SGW_GTP_TUNNEL_MGMT_S5_S8_RAW.sm_update_bearer_req_rcvd-DC_E_PCC_SGW_GTP_TUNNEL_MGMT_S5_S8_RAW.sm_update_bearer_resp_acc_sent)/DC_E_PCC_SGW_GTP_TUNNEL_MGMT_S5_S8_RAW.sm_update_bearer_req_rcvd),,"DC_E_PCC_SGW_GTP_TUNNEL_MGMT_S5_S8_RAW.sm_update_bearer_req_rcvd,DC_E_PCC_SGW_GTP_TUNNEL_MGMT_S5_S8_RAW.sm_update_bearer_resp_acc_sent",,,Core,PCC,SGW-C Update Dedicated Bearer Failure Ratio for combined S5/S8-C,KPI,,,,,Simple,,"MOID, NE_NAME, OSS_ID,ROWSTATUS, DC_TIMEZONE",,,
S4-C/S11-C Create Session Failure Ratio,100*((DC_E_PCC_SGW_GTP_TUNNEL_MGMT_S4_S11_RAW.sm_create_session_req_rcvd-DC_E_PCC_SGW_GTP_TUNNEL_MGMT_S4_S11_RAW.sm_create_session_resp_acc_sent)/DC_E_PCC_SGW_GTP_TUNNEL_MGMT_S4_S11_RAW.sm_create_session_req_rcvd),,"DC_E_PCC_SGW_GTP_TUNNEL_MGMT_S4_S11_RAW.sm_create_session_req_rcvd,DC_E_PCC_SGW_GTP_TUNNEL_MGMT_S4_S11_RAW.sm_create_session_resp_acc_sent",,,Core,PCC,S4-C/S11-C Create Session Failure Ratio,KPI,,,,,Simple,,"MOID, NE_NAME, OSS_ID,ROWSTATUS, DC_TIMEZONE",,,
S4-C/S11-C Modify Bearer Failure Ratio,100*((DC_E_PCC_SGW_GTP_TUNNEL_MGMT_S4_S11_RAW.sm_modify_bearer_req_rcvd-DC_E_PCC_SGW_GTP_TUNNEL_MGMT_S4_S11_RAW.sm_modify_bearer_resp_acc_sent)/DC_E_PCC_SGW_GTP_TUNNEL_MGMT_S4_S11_RAW.sm_modify_bearer_req_rcvd),,"DC_E_PCC_SGW_GTP_TUNNEL_MGMT_S4_S11_RAW.sm_modify_bearer_req_rcvd,DC_E_PCC_SGW_GTP_TUNNEL_MGMT_S4_S11_RAW.sm_modify_bearer_resp_acc_sent",,,Core,PCC,S4-C/S11-C Modify Bearer Failure Ratio,KPI,,,,,Simple,,"MOID, NE_NAME, OSS_ID,ROWSTATUS, DC_TIMEZONE",,,
SGW-C Rf Transaction Failure Ratio,100*(DC_E_PCC_OFFLINE_CHARGING_RAW.rf_acct_answer_rej_rec/DC_E_PCC_OFFLINE_CHARGING_RAW.rf_acct_req_sent),,"DC_E_PCC_OFFLINE_CHARGING_RAW.rf_acct_answer_rej_rec,DC_E_PCC_OFFLINE_CHARGING_RAW.rf_acct_req_sent",,,Core,PCC,SGW-C Rf Transaction Failure Ratio,KPI,,,,,Simple,,"MOID, NE_NAME, OSS_ID,ROWSTATUS, DC_TIMEZONE",,,
S4-C/S11-C Create Default Bearer Attempt Success Ratio per QCI,100*(DC_E_PCC_SGW_BEARER_MGMT_QCI_S4_S11_RAW.sm_create_default_bearer_request_fulfilled/DC_E_PCC_SGW_BEARER_MGMT_QCI_S4_S11_RAW.sm_create_default_bearer_request),,"DC_E_PCC_SGW_BEARER_MGMT_QCI_S4_S11_RAW.sm_create_default_bearer_request,DC_E_PCC_SGW_BEARER_MGMT_QCI_S4_S11_RAW.sm_create_default_bearer_request_fulfilled",,,Core,PCC,S4-C/S11-C Create Default Bearer Attempt Success Ratio per QCI,KPI,,,,,Simple,,"MOID, NE_NAME, OSS_ID,ROWSTATUS, DC_TIMEZONE",,,
S4-C/S11-C Create Dedicated Bearer Attempt Failure Ratio per QCI,100*((DC_E_PCC_SGW_BEARER_MGMT_QCI_S4_S11_RAW.sm_create_dedicated_bearer_attempt_init-DC_E_PCC_SGW_BEARER_MGMT_QCI_S4_S11_RAW.sm_create_dedicated_bearer_attempt_success)/DC_E_PCC_SGW_BEARER_MGMT_QCI_S4_S11_RAW.sm_create_dedicated_bearer_attempt_init),,"DC_E_PCC_SGW_BEARER_MGMT_QCI_S4_S11_RAW.sm_create_dedicated_bearer_attempt_init,DC_E_PCC_SGW_BEARER_MGMT_QCI_S4_S11_RAW.sm_create_dedicated_bearer_attempt_success",,,Core,PCC,S4-C/S11-C Create Dedicated Bearer Attempt Failure Ratio per QCI,KPI,,,,,Simple,,"MOID, NE_NAME, OSS_ID,ROWSTATUS, DC_TIMEZONE",,,
S4-C/S11-C Update Bearer Attempt Failure Ratio per QCI,100*((DC_E_PCC_SGW_BEARER_MGMT_QCI_S4_S11_RAW.sm_update_bearer_attempt_init-DC_E_PCC_SGW_BEARER_MGMT_QCI_S4_S11_RAW.sm_update_bearer_attempt_success)/DC_E_PCC_SGW_BEARER_MGMT_QCI_S4_S11_RAW.sm_update_bearer_attempt_init),,"DC_E_PCC_SGW_BEARER_MGMT_QCI_S4_S11_RAW.sm_update_bearer_attempt_init,DC_E_PCC_SGW_BEARER_MGMT_QCI_S4_S11_RAW.sm_update_bearer_attempt_success",,,Core,PCC,S4-C/S11-C Update Bearer Attempt Failure Ratio per QCI,KPI,,,,,Simple,,"MOID, NE_NAME, OSS_ID,ROWSTATUS, DC_TIMEZONE",,,
S4-C/S11-C Delete Bearer Command Request Failure Ratio per,100*((DC_E_PCC_SGW_BEARER_MGMT_QCI_S4_S11_RAW.sm_delete_bearer_cmd_request-DC_E_PCC_SGW_BEARER_MGMT_QCI_S4_S11_RAW.sm_delete_bearer_cmd_request_fulfilled)/DC_E_PCC_SGW_BEARER_MGMT_QCI_S4_S11_RAW.sm_delete_bearer_cmd_request),,"DC_E_PCC_SGW_BEARER_MGMT_QCI_S4_S11_RAW.sm_delete_bearer_cmd_request,DC_E_PCC_SGW_BEARER_MGMT_QCI_S4_S11_RAW.sm_delete_bearer_cmd_request_fulfilled",,,Core,PCC,S4-C/S11-C Delete Bearer Command Request Failure Ratio per,KPI,,,,,Simple,,"MOID, NE_NAME, OSS_ID,ROWSTATUS, DC_TIMEZONE",,,
S4-C/S11-C Delete Bearer Attempt Failure Ratio per QCI,100*((DC_E_PCC_SGW_BEARER_MGMT_QCI_S4_S11_RAW.sm_delete_bearer_attempt_init-DC_E_PCC_SGW_BEARER_MGMT_QCI_S4_S11_RAW.sm_delete_bearer_attempt_success)/DC_E_PCC_SGW_BEARER_MGMT_QCI_S4_S11_RAW.sm_delete_bearer_attempt_init),,"DC_E_PCC_SGW_BEARER_MGMT_QCI_S4_S11_RAW.sm_delete_bearer_attempt_init,DC_E_PCC_SGW_BEARER_MGMT_QCI_S4_S11_RAW.sm_delete_bearer_attempt_success",,,Core,PCC,S4-C/S11-C Delete Bearer Attempt Failure Ratio per QCI,KPI,,,,,Simple,,"MOID, NE_NAME, OSS_ID,ROWSTATUS, DC_TIMEZONE",,,
S4-C/S11-C Create Dedicated Bearer Request Failure Ratio per QCI during SGW-C Relocation,100*((DC_E_PCC_SGW_BEARER_MGMT_QCI_S4_S11_RAW.sm_sgw_reloc_create_dedicated_bearer_request-DC_E_PCC_SGW_BEARER_MGMT_QCI_S4_S11_RAW.sm_sgw_reloc_create_dedicated_bearer_request_fulfilled)/DC_E_PCC_SGW_BEARER_MGMT_QCI_S4_S11_RAW.sm_sgw_reloc_create_dedicated_bearer_request),,"DC_E_PCC_SGW_BEARER_MGMT_QCI_S4_S11_RAW.sm_sgw_reloc_create_dedicated_bearer_request,DC_E_PCC_SGW_BEARER_MGMT_QCI_S4_S11_RAW.sm_sgw_reloc_create_dedicated_bearer_request_fulfilled",,,Core,PCC,S4-C/S11-C Create Dedicated Bearer Request Failure Ratio per QCI during SGW-C Relocation,KPI,,,,,Simple,,"MOID, NE_NAME, OSS_ID,ROWSTATUS, DC_TIMEZONE",,,
SGW-C Create Dedicated Bearer Request Failure Ratio per QCI for separate S5-C,100*((DC_E_PCC_SGW_BEARER_MGMT_QCI_S5_RAW.sm_create_dedicated_bearer_request-DC_E_PCC_SGW_BEARER_MGMT_QCI_S5_RAW.sm_create_dedicated_bearer_request_fulfilled)/DC_E_PCC_SGW_BEARER_MGMT_QCI_S5_RAW.sm_create_dedicated_bearer_request),,"DC_E_PCC_SGW_BEARER_MGMT_QCI_S5_RAW.sm_create_dedicated_bearer_request,DC_E_PCC_SGW_BEARER_MGMT_QCI_S5_RAW.sm_create_dedicated_bearer_request_fulfilled",,,Core,PCC,SGW-C Create Dedicated Bearer Request Failure Ratio per QCI for separate S5-C,KPI,,,,,Simple,,"MOID, NE_NAME, OSS_ID,ROWSTATUS, DC_TIMEZONE",,,
SGW-C Create Dedicated Bearer Request Failure Ratio per QCI for separate S8-C,100*((DC_E_PCC_SGW_BEARER_MGMT_QCI_S8_RAW.sm_create_dedicated_bearer_request-DC_E_PCC_SGW_BEARER_MGMT_QCI_S8_RAW.sm_create_dedicated_bearer_request_fulfilled)/DC_E_PCC_SGW_BEARER_MGMT_QCI_S8_RAW.sm_create_dedicated_bearer_request),,"DC_E_PCC_SGW_BEARER_MGMT_QCI_S8_RAW.sm_create_dedicated_bearer_request,DC_E_PCC_SGW_BEARER_MGMT_QCI_S8_RAW.sm_create_dedicated_bearer_request_fulfilled",,,Core,PCC,SGW-C Create Dedicated Bearer Request Failure Ratio per QCI for separate S8-C,KPI,,,,,Simple,,"MOID, NE_NAME, OSS_ID,ROWSTATUS, DC_TIMEZONE",,,
SGW-C Create Dedicated Bearer Request Failure Ratio per QCI for combined S5/S8-C,100*((DC_E_PCC_SGW_BEARER_MGMT_QCI_S5_S8_RAW.sm_create_dedicated_bearer_request-DC_E_PCC_SGW_BEARER_MGMT_QCI_S5_S8_RAW.sm_create_dedicated_bearer_request_fulfilled)/DC_E_PCC_SGW_BEARER_MGMT_QCI_S5_S8_RAW.sm_create_dedicated_bearer_request),,"DC_E_PCC_SGW_BEARER_MGMT_QCI_S5_S8_RAW.sm_create_dedicated_bearer_request,DC_E_PCC_SGW_BEARER_MGMT_QCI_S5_S8_RAW.sm_create_dedicated_bearer_request_fulfilled",,,Core,PCC,SGW-C Create Dedicated Bearer Request Failure Ratio per QCI for combined S5/S8-C,KPI,,,,,Simple,,"MOID, NE_NAME, OSS_ID,ROWSTATUS, DC_TIMEZONE",,,
SGW-C Create Default Bearer Attempt Success Ratio per QCI for separate S5-C,100*(DC_E_PCC_SGW_BEARER_MGMT_QCI_S5_RAW.sm_create_default_bearer_attempt_success/DC_E_PCC_SGW_BEARER_MGMT_QCI_S5_RAW.sm_create_default_bearer_attempt_init),,"DC_E_PCC_SGW_BEARER_MGMT_QCI_S5_RAW.sm_create_default_bearer_attempt_success,DC_E_PCC_SGW_BEARER_MGMT_QCI_S5_RAW.sm_create_default_bearer_attempt_init",,,Core,PCC,SGW-C Create Default Bearer Attempt Success Ratio per QCI for separate S5-C,KPI,,,,,Simple,,"MOID, NE_NAME, OSS_ID,ROWSTATUS, DC_TIMEZONE",,,
SGW-C Create Default Bearer Attempt Success Ratio per QCI for separate S8-C,100*(DC_E_PCC_SGW_BEARER_MGMT_QCI_S8_RAW.sm_create_default_bearer_attempt_success/DC_E_PCC_SGW_BEARER_MGMT_QCI_S8_RAW.sm_create_default_bearer_attempt_init),,"DC_E_PCC_SGW_BEARER_MGMT_QCI_S8_RAW.sm_create_default_bearer_attempt_success,DC_E_PCC_SGW_BEARER_MGMT_QCI_S8_RAW.sm_create_default_bearer_attempt_init",,,Core,PCC,SGW-C Create Default Bearer Attempt Success Ratio per QCI for separate S8-C,KPI,,,,,Simple,,"MOID, NE_NAME, OSS_ID,ROWSTATUS, DC_TIMEZONE",,,
SGW-C Create Default Bearer Attempt Success Ratio per QCI for combined S5/S8-C,100*(DC_E_PCC_SGW_BEARER_MGMT_QCI_S5_S8_RAW.sm_create_default_bearer_attempt_success/DC_E_PCC_SGW_BEARER_MGMT_QCI_S5_S8_RAW.sm_create_default_bearer_attempt_init),,"DC_E_PCC_SGW_BEARER_MGMT_QCI_S5_S8_RAW.sm_create_default_bearer_attempt_success,DC_E_PCC_SGW_BEARER_MGMT_QCI_S5_S8_RAW.sm_create_default_bearer_attempt_init",,,Core,PCC,SGW-C Create Default Bearer Attempt Success Ratio per QCI for combined S5/S8-C,KPI,,,,,Simple,,"MOID, NE_NAME, OSS_ID,ROWSTATUS, DC_TIMEZONE",,,
SGW-C Update Bearer Request Failure Ratio per QCI for separate S5-C,100*((DC_E_PCC_SGW_BEARER_MGMT_QCI_S5_RAW.sm_update_bearer_request-DC_E_PCC_SGW_BEARER_MGMT_QCI_S5_RAW.sm_update_bearer_request_fulfilled)/DC_E_PCC_SGW_BEARER_MGMT_QCI_S5_RAW.sm_update_bearer_request),,"DC_E_PCC_SGW_BEARER_MGMT_QCI_S5_RAW.sm_update_bearer_request,DC_E_PCC_SGW_BEARER_MGMT_QCI_S5_RAW.sm_update_bearer_request_fulfilled",,,Core,PCC,SGW-C Update Bearer Request Failure Ratio per QCI for separate S5-C,KPI,,,,,Simple,,"MOID, NE_NAME, OSS_ID,ROWSTATUS, DC_TIMEZONE",,,
SGW-C Update Bearer Request Failure Ratio per QCI for separate S8-C,100*((DC_E_PCC_SGW_BEARER_MGMT_QCI_S8_RAW.sm_update_bearer_request-DC_E_PCC_SGW_BEARER_MGMT_QCI_S8_RAW.sm_update_bearer_request_fulfilled)/DC_E_PCC_SGW_BEARER_MGMT_QCI_S8_RAW.sm_update_bearer_request),,"DC_E_PCC_SGW_BEARER_MGMT_QCI_S8_RAW.sm_update_bearer_request,DC_E_PCC_SGW_BEARER_MGMT_QCI_S8_RAW.sm_update_bearer_request_fulfilled",,,Core,PCC,SGW-C Update Bearer Request Failure Ratio per QCI for separate S8-C,KPI,,,,,Simple,,"MOID, NE_NAME, OSS_ID,ROWSTATUS, DC_TIMEZONE",,,
SGW-C Update Bearer Request Failure Ratio per QCI for combined S5/S8-C,100*((DC_E_PCC_SGW_BEARER_MGMT_QCI_S5_S8_RAW.sm_update_bearer_request-DC_E_PCC_SGW_BEARER_MGMT_QCI_S5_S8_RAW.sm_update_bearer_request_fulfilled)/DC_E_PCC_SGW_BEARER_MGMT_QCI_S5_S8_RAW.sm_update_bearer_request),,"DC_E_PCC_SGW_BEARER_MGMT_QCI_S5_S8_RAW.sm_update_bearer_request,DC_E_PCC_SGW_BEARER_MGMT_QCI_S5_S8_RAW.sm_update_bearer_request_fulfilled",,,Core,PCC,SGW-C Update Bearer Request Failure Ratio per QCI for combined S5/S8-C,KPI,,,,,Simple,,"MOID, NE_NAME, OSS_ID,ROWSTATUS, DC_TIMEZONE",,,
SGW-C Delete Bearer Command Attempt Failure Ratio per QCI for separate S5-C,100*((DC_E_PCC_SGW_BEARER_MGMT_QCI_S5_RAW.sm_delete_bearer_cmd_attempt_init-DC_E_PCC_SGW_BEARER_MGMT_QCI_S5_RAW.sm_delete_bearer_cmd_attempt_success)/DC_E_PCC_SGW_BEARER_MGMT_QCI_S5_RAW.sm_delete_bearer_cmd_attempt_init),,"DC_E_PCC_SGW_BEARER_MGMT_QCI_S5_RAW.sm_delete_bearer_cmd_attempt_init,DC_E_PCC_SGW_BEARER_MGMT_QCI_S5_RAW.sm_delete_bearer_cmd_attempt_success",,,Core,PCC,SGW-C Delete Bearer Command Attempt Failure Ratio per QCI for separate S5-C,KPI,,,,,Simple,,"MOID, NE_NAME, OSS_ID,ROWSTATUS, DC_TIMEZONE",,,
SGW-C Delete Bearer Command Attempt Failure Ratio per QCI for separate S8-C,100*((DC_E_PCC_SGW_BEARER_MGMT_QCI_S8_RAW.sm_delete_bearer_cmd_attempt_init-DC_E_PCC_SGW_BEARER_MGMT_QCI_S8_RAW.sm_delete_bearer_cmd_attempt_success)/DC_E_PCC_SGW_BEARER_MGMT_QCI_S8_RAW.sm_delete_bearer_cmd_attempt_init),,"DC_E_PCC_SGW_BEARER_MGMT_QCI_S8_RAW.sm_delete_bearer_cmd_attempt_init,DC_E_PCC_SGW_BEARER_MGMT_QCI_S8_RAW.sm_delete_bearer_cmd_attempt_success",,,Core,PCC,SGW-C Delete Bearer Command Attempt Failure Ratio per QCI for separate S8-C,KPI,,,,,Simple,,"MOID, NE_NAME, OSS_ID,ROWSTATUS, DC_TIMEZONE",,,
SGW-C Delete Bearer Command Attempt Failure Ratio per QCI for combined S5/S8-C,100*((DC_E_PCC_SGW_BEARER_MGMT_QCI_S5_S8_RAW.sm_delete_bearer_cmd_attempt_init-DC_E_PCC_SGW_BEARER_MGMT_QCI_S5_S8_RAW.sm_delete_bearer_cmd_attempt_success)/DC_E_PCC_SGW_BEARER_MGMT_QCI_S5_S8_RAW.sm_delete_bearer_cmd_attempt_init),,"DC_E_PCC_SGW_BEARER_MGMT_QCI_S5_S8_RAW.sm_delete_bearer_cmd_attempt_init,DC_E_PCC_SGW_BEARER_MGMT_QCI_S5_S8_RAW.sm_delete_bearer_cmd_attempt_success",,,Core,PCC,SGW-C Delete Bearer Command Attempt Failure Ratio per QCI for combined S5/S8-C,KPI,,,,,Simple,,"MOID, NE_NAME, OSS_ID,ROWSTATUS, DC_TIMEZONE",,,
SGW-C Delete Bearer Request Failure Ratio per QCI for separate S5-C,100*((DC_E_PCC_SGW_BEARER_MGMT_QCI_S5_RAW.sm_delete_bearer_request-DC_E_PCC_SGW_BEARER_MGMT_QCI_S5_RAW.sm_delete_bearer_request_fulfilled)/DC_E_PCC_SGW_BEARER_MGMT_QCI_S5_RAW.sm_delete_bearer_request),,"DC_E_PCC_SGW_BEARER_MGMT_QCI_S5_RAW.sm_delete_bearer_request,DC_E_PCC_SGW_BEARER_MGMT_QCI_S5_RAW.sm_delete_bearer_request_fulfilled",,,Core,PCC,SGW-C Delete Bearer Request Failure Ratio per QCI for separate S5-C,KPI,,,,,Simple,,"MOID, NE_NAME, OSS_ID,ROWSTATUS, DC_TIMEZONE",,,
SGW-C Delete Bearer Request Failure Ratio per QCI for separate S8-C,100*((DC_E_PCC_SGW_BEARER_MGMT_QCI_S8_RAW.sm_delete_bearer_request-DC_E_PCC_SGW_BEARER_MGMT_QCI_S8_RAW.sm_delete_bearer_request_fulfilled)/DC_E_PCC_SGW_BEARER_MGMT_QCI_S8_RAW.sm_delete_bearer_request),,"DC_E_PCC_SGW_BEARER_MGMT_QCI_S8_RAW.sm_delete_bearer_request,DC_E_PCC_SGW_BEARER_MGMT_QCI_S8_RAW.sm_delete_bearer_request_fulfilled",,,Core,PCC,SGW-C Delete Bearer Request Failure Ratio per QCI for separate S8-C,KPI,,,,,Simple,,"MOID, NE_NAME, OSS_ID,ROWSTATUS, DC_TIMEZONE",,,
SGW-C Delete Bearer Request Failure Ratio per QCI for combined S5/S8-C,100*((DC_E_PCC_SGW_BEARER_MGMT_QCI_S5_S8_RAW.sm_delete_bearer_request-DC_E_PCC_SGW_BEARER_MGMT_QCI_S5_S8_RAW.sm_delete_bearer_request_fulfilled)/DC_E_PCC_SGW_BEARER_MGMT_QCI_S5_S8_RAW.sm_delete_bearer_request),,"DC_E_PCC_SGW_BEARER_MGMT_QCI_S5_S8_RAW.sm_delete_bearer_request,DC_E_PCC_SGW_BEARER_MGMT_QCI_S5_S8_RAW.sm_delete_bearer_request_fulfilled",,,Core,PCC,SGW-C Delete Bearer Request Failure Ratio per QCI for combined S5/S8-C,KPI,,,,,Simple,,"MOID, NE_NAME, OSS_ID,ROWSTATUS, DC_TIMEZONE",,,
SGW-C Modify Bearer Attempt Failure Ratio per QCI during SGW-C relocation for separate S5-C,100*((DC_E_PCC_SGW_BEARER_MGMT_QCI_S5_RAW.sm_sgw_reloc_modify_bearer_attempt_init-DC_E_PCC_SGW_BEARER_MGMT_QCI_S5_RAW.sm_sgw_reloc_modify_bearer_attempt_success)/DC_E_PCC_SGW_BEARER_MGMT_QCI_S5_RAW.sm_sgw_reloc_modify_bearer_attempt_init),,"DC_E_PCC_SGW_BEARER_MGMT_QCI_S5_RAW.sm_sgw_reloc_modify_bearer_attempt_init,DC_E_PCC_SGW_BEARER_MGMT_QCI_S5_RAW.sm_sgw_reloc_modify_bearer_attempt_success",,,Core,PCC,SGW-C Modify Bearer Attempt Failure Ratio per QCI during SGW-C relocation for separate S5-C,KPI,,,,,Simple,,"MOID, NE_NAME, OSS_ID,ROWSTATUS, DC_TIMEZONE",,,
